iter	Logloss
0	0.5204641108
1	0.379201019
2	0.2728655966
3	0.2146497024
4	0.1713026616
5	0.1344720021
6	0.1072021953
7	0.08840555894
8	0.06893710923
9	0.05765965529
10	0.04666619134
11	0.04018388715
12	0.03461442914
13	0.02885034001
14	0.02461145635
15	0.0214221603
16	0.01868724614
17	0.01669315706
18	0.01513175588
19	0.0140737933
20	0.01277626188
21	0.01146313705
22	0.01024122615
23	0.009682886433
24	0.008839682529
25	0.008166534336
26	0.007573007492
27	0.007154367995
28	0.006816162352
29	0.006453845585
30	0.006100798908
31	0.005703319583
32	0.005383140685
33	0.005254616863
34	0.004950417761
35	0.004696223819
36	0.004418767335
37	0.004343723257
38	0.00410375365
39	0.003893187433
40	0.003688577497
41	0.003527416472
42	0.003387764358
43	0.003276100807
44	0.003167878902
45	0.003059255449
46	0.00296272625
47	0.002913435823
48	0.002861359925
49	0.00276864307
